IdEntidad;GÇnero;Fecha nacimiento;Localidad;Provincia;C¢digo postal;Fidelidad;Fecha entrega;Fecha matriculaci¢n;Fecha venta;Fecha apertura;Km £ltima OR;Gama;Modelo;Versi¢n;Motor;Color
9989469#1;female;18/05/1983;CASTILLEJA DE LA CUESTA;Sevilla;41950;INFIEL;11/06/2015;11/06/2015;18/01/2019;06/08/2019;67047;VERSO;VERSO 115D Advance 7 Plazas;2014;1.6;Blanco Classic
9988999#1;male;;SEVILLA;Sevilla;41009;FIEL;;;;04/07/2022;112555;AURIS;AURIS 1.6 3 PUERTAS ACTIVE;2009;1.6;
9988527#1;female;;ALCALµ DE GUADAIRA;Sevilla;41500;POT INFIEL;31/01/2018;31/01/2018;31/01/2018;10/03/2021;39388;YARIS;YARIS hybrid Active;2017;1.5;Rojo Classic
9988306#1;female;;BORMUJOS;Sevilla;41930;INFIEL;18/06/2008;18/06/2008;25/04/2018;15/01/2019;298645;AURIS;AURIS 2.0 126 5P LUNA;2007;2.0 High;Plata Metal
9987392#1;female;30/03/1965;LA ALGABA;Sevilla;41980;FIEL;23/07/2019;25/07/2019;23/07/2019;27/10/2021;22302;YARIS;YARIS HYBRID FEEL! 5P;2021;1.5;Azul NÇbula
9986639#1;male;;SEVILLA;Sevilla;41006;INFIEL;28/01/2004;03/02/2004;03/02/2004;28/12/2018;246755;AVENSIS;AVENSIS 2.0 D4D 116 4P EXEC;2003;2.0 High;PLATA MT
9974708#1;female;;;;;FIEL;25/01/2021;25/01/2021;25/01/2021;01/07/2022;1;PROACE;PROACE VAN L1 2.0 120 BUSINESS;2020;2.0 120D;Rojo Supreme
9974708#1;female;;;;;FIEL;27/04/2018;27/04/2018;27/04/2018;31/05/2021;58590;YARIS;YARIS HYBRID FEEL! BI-TONO;2018;1.5;Bi-tono Blanco Glaciar
9970097#1;female;23/11/1970;DOS HERMANAS;Sevilla;41703;FIEL;;29/08/2019;29/08/2019;24/02/2022;32181;YARIS;YARIS HYBRID FEEL! BI-TONO;2021;1.5;Bi-tono Blanco Gris
9969790#1;male;;CONIL DE LA FRONTERA;C†diz;11140;POT INFIEL;;;;30/04/2021;202965;N/A;N/A;2000;N/A;N/A
9969528#1;male;;SEVILLA;Sevilla;41003;FIEL;10/04/2019;12/04/2019;10/04/2019;23/06/2022;90017;RAV 4;RAV4 HYBRID 4X4 ADVANCE;2020;2.5;Blanco Classic
9969120#1;male;16/09/1982;HUELVA;Huelva;21005;INFIEL;15/06/2017;15/06/2017;21/01/2019;18/01/2019;31954;VERSO;VERSO 115D Advance 7 Plazas;2017;1.6;Blanco Classic
9969115#1;male;04/12/1961;CAMPOSOL;Sevilla;41410;FIEL;17/01/2019;18/01/2019;17/01/2019;19/01/2022;28513;AURIS TOURING SPORTS;AURIS hybrid TS Active;2019;1.8;Rojo Tokio
9968485#1;male;10/10/1967;Mairena del Alcor;Sevilla;41510;FIEL;18/01/2019;21/01/2019;18/01/2019;27/01/2022;12926;TOYOTA C-HR;TOYOTA C-HR 125H eCVT 5 P. ADV;2019;1.8;Rojo Tokio
9968154#1;female;;CASTILLEJA DE LA CUESTA;Sevilla;41950;INFIEL;;19/02/2008;26/05/2009;14/01/2019;179882;AURIS;AURIS 1.4 90 5P LUNA;2007;1.4 High;Gris Mica
99575#1;male;29/05/1981;CEUTA;Ceuta;51001;FIEL;24/07/2019;25/07/2019;24/07/2019;16/09/2021;29124;LAND CRUISER;LAND CRUISER 204D VX 5P T/A;2019;2.8;Gris Grafito
9956888#1;N/A;18/11/1979;MAIRENA DEL ALJARAFE;Sevilla;41927;POT INFIEL;10/11/2017;10/11/2017;17/01/2019;28/04/2021;63531;AURIS TOURING SPORTS;AURIS 115D TS Active;2017;1.6;Rojo Tokio
9951097#1;male;04/01/1983;FUENTE DEL REY;Sevilla;41703;INFIEL;11/12/2012;11/12/2012;11/12/2019;15/03/2017;89110;YARIS;YARIS 100 M-DRV Active 5P;2012;1.33;Rojo Fuego
9950998#1;male;09/10/1986;ALCALµ DE GUADAIRA;Sevilla;41500;FIEL;16/01/2019;18/01/2019;16/01/2019;17/09/2021;43953;TOYOTA C-HR;TOYOTA C-HR 125H eCVT 5 P. ADV;2019;1.8;Gris Diamante
9950696#1;female;24/12/1977;ALCALµ DE GUADAIRA;Sevilla;41500;FIEL;30/01/2019;31/01/2019;30/01/2019;08/02/2022;47212;AURIS;AURIS hybrid Active;2019;1.8;Blanco Classic
9929836#1;female;18/07/1950;SEVILLA;Sevilla;41010;FIEL;28/01/2019;29/01/2019;28/01/2019;01/03/2022;10423;YARIS;YARIS hybrid Active;2020;1.5;Blanco Classic
9929535#1;female;03/02/1997;TORREQUINTO;Sevilla;41500;FIEL;17/01/2019;18/01/2019;17/01/2019;01/02/2022;35272;YARIS;YARIS HYBRID FEEL! BI-TONO;2020;1.5;Bi-tono Plata Gris
9929205#1;male;20/05/1950;SEVILLA;Sevilla;41007;FIEL;16/01/2019;18/01/2019;16/01/2019;17/01/2022;18232;TOYOTA C-HR;TOYOTA C-HR 125H eCVT 5 P. ADV;2019;1.8;Blanco Perlado
9929114#1;male;18/12/2001;SEVILLA;Sevilla;41020;FIEL;22/01/2019;22/01/2019;22/01/2019;22/04/2022;41611;RAV 4;RAV4 HYBRID 4X2 EXECUTIVE;2019;2.5;Blanco Perlado
9928953#1;male;05/06/1983;;;;FIEL;21/07/2015;21/07/2015;24/01/2019;12/07/2022;105833;AURIS TOURING SPORTS;AURIS hybrid TS Active;2015;1.8;Pure White
9928029#1;female;;EUROVILLAS - LAS VILLAS;Madrid;28514;INFIEL;;30/08/2005;30/08/2005;10/01/2019;178492;COROLLA SEDAN;COROLLA 2.0 D4D 116 5P SOL;2004;2.0 High;NEGRO MICA MT
9927554#1;male;;SEVILLA;Sevilla;41014;INFIEL;;29/10/2004;29/10/2004;09/01/2019;208662;VERSO;COROLLA VERSO D4D 116 7PZ SOL;2004;2.0 High;PLATA MT
9927398#1;male;;ALCALµ DE GUADAIRA;Sevilla;41500;INFIEL;04/05/2004;10/05/2004;10/05/2004;27/12/2018;115323;VERSO;COROLLA VERSO D4D 116 7PZ SOL;2004;2.0 High;AZUL OSCURO MM
9927214#1;male;;PALMA DEL R÷O;C¢rdoba;14700;FIEL;12/09/2018;12/09/2018;12/09/2018;09/07/2021;182071;HILUX;Hilux 2.4 150D Autom†tico 6v (;2018;2.4;Blanco Perlado
9927214#1;male;;PALMA DEL R÷O;C¢rdoba;14700;FIEL;;30/07/2018;30/07/2018;04/11/2021;43110;RAV 4;RAV4 HYBRID 4X2 ADVANCE;2018;2.5;Blanco Perlado
9926816#1;female;;SEVILLA;Sevilla;41006;INFIEL;;01/02/2005;31/01/2005;18/12/2018;193444;AVENSIS;AVENSIS 1.8 4P SOL;2003;1.8;ROJO
9926806#1;male;15/01/1978;SEVILLA;Sevilla;41007;FIEL;16/05/2019;20/05/2019;16/05/2019;02/03/2022;42045;RAV 4;RAV4 HYBRID 4X2 EXECUTIVE;2020;2.5;Gris Grafito
9907735#1;female;;SEVILLA;Sevilla;41020;INFIEL;;02/02/2004;21/03/2016;29/01/2020;290557;AVENSIS;AVENSIS 2.0 D4D 116 4P EXEC;2003;2.0 High;AZUL OSCURO MM
9903231#1;male;20/05/1961;MADRID;Madrid;28005;FIEL;20/01/2020;20/01/2020;29/10/2021;12/01/2022;33133;COROLLA;Corolla 125H e-CVT Business P;2019;1.8;Blanco Classic
9899819#1;female;;SEVILLA;Sevilla;41003;INFIEL;;21/12/2006;21/12/2006;08/01/2019;109509;VERSO;COROLLA VERSO D4D 136 7PZ SOL;2006;2.2;Beige Mica
9898797#1;female;19/07/1980;SEVILLA;Sevilla;41012;FIEL;24/06/2019;25/06/2019;24/06/2019;10/01/2022;9668;YARIS;Yaris 110 Manual 5P Active;2020;1.5;Blanco Classic
9898669#1;male;20/05/1973;SAN JOSê DE LA RINCONADA;Sevilla;41300;FIEL;15/01/2019;16/01/2019;15/01/2019;13/06/2022;29919;AURIS;AURIS hybrid Feel Edition;2019;1.8;Gris Meteoro
9898207#1;female;31/05/1968;SEVILLA;Sevilla;41020;FIEL;;31/01/2022;31/01/2022;27/01/2022;5;TOYOTA C-HR;TOYOTA C-HR 125H eCVT 5 P. ADV;2022;1.8;Gris Celestita
9898129#1;female;08/03/1988;CONSTANTINA;Sevilla;41450;FIEL;24/01/2019;25/01/2019;24/01/2019;15/11/2021;1;RAV 4;RAV4 hybrid 4x4 Feel;2019;2.5;Blanco Perlado
9897822#1;female;;EL VISO DEL ALCOR;Sevilla;41520;INFIEL;;31/07/2007;31/07/2007;08/01/2019;148135;AVENSIS;AVENSIS 2.0 D4D 126 5P SOL;2007;2.0 High;VERDE OSCURO MICA
9870683#1;female;;MAIRENA DEL ALJARAFE;Sevilla;41927;INFIEL;14/06/2018;18/06/2018;14/06/2018;04/01/2019;8724;TOYOTA C-HR;TOYOTA C-HR 125H eCVT 5 P. ADV;2018;1.8;Blanco Perlado
9870240#1;N/A;;;;;INFIEL;29/07/2014;30/06/2014;30/06/2014;07/01/2019;102740;AURIS TOURING SPORTS;AURIS 120D TS Active;2014;120D ECO;Abisal
9869756#1;male;19/01/1979;DOS HERMANAS;Sevilla;41703;POT INFIEL;15/06/2017;15/06/2017;17/01/2019;12/05/2021;61888;VERSO;VERSO 115D Advance 7 Plazas;2017;1.6;Gris Grafito
